[✅ 정답] 이미지 0: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 1: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 2: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 3: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 5: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 6: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 7: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 8: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 9: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 10: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 11: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 12: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 13: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 14: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 15: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 16: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 17: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 18: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 19: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 20: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 21: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 22: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 23: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 24: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 25: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 26: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 27: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 28: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 29: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 30: 예측=테이블·체어, 실제=가방·박스·웨건
[✅ 정답] 이미지 31: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 32: 예측=냉·난방용품, 실제=냉·난방용품
